PGN;PGN label;In CSS electronics' DBC?
59392;ISO Acknowledgment;NMEA DBC
59904;ISO Request;NMEA DBC (2022)
60160;"ISO Transport Protocol, Data Transfer";NMEA DBC
60416;Transport Protocol - Connection Mgmt;No
60672;Network Layer;No
60928;ISO Address Claim;NMEA DBC
61184;Proprietary A;No
61440;Electronic Retarder Controller 1;J1939 DBC
61441;Electronic Brake Controller 1;J1939 DBC
61442;Electronic Transmission Controller 1;J1939 DBC
61443;Electronic Engine Controller 2;J1939 DBC
61444;Electronic Engine Controller 1;J1939 DBC
61445;Electronic Transmission Controller 2;J1939 DBC
61446;Electronic Axle Controller 1;J1939 DBC
61447;Forward Lane Image 1;J1939 DBC
61448;Hydraulic Pressure Governor Info;J1939 DBC
61449;Vehicle Dynamic Stability Control 2;J1939 DBC
61450;Engine Gas Flow Rate;J1939 DBC
61451;Electronic Steering Control;J1939 DBC
61452;Electronic Transmission Controller #8;J1939 DBC
61453;Land Leveling System Operational Information;J1939 DBC
61454;Aftertreatment 1 Intake Gas 1;J1939 DBC
61455;Aftertreatment 1 Outlet Gas 1;J1939 DBC
61456;Aftertreatment 2 Intake Gas 1;J1939 DBC
61457;Aftertreatment 2 Outlet Gas 1;J1939 DBC
61458;Fifth Wheel Smart Systems 1;J1939 DBC
61459;Slope Sensor Information;J1939 DBC
61460;Blade Information;J1939 DBC
61461;Requested Generator Total AC Reactive Power;J1939 DBC
61462;Cylinder Combustion Status;J1939 DBC
61463;Engine Knock Level #1;J1939 DBC
61464;Engine Knock Level #2;J1939 DBC
61465;Engine Knock Level #3;J1939 DBC
61466;Engine Throttle / Fuel Actuator Control Command;J1939 DBC
61467;General Purpose Message #1/7;No
61468;Requested Generator Average Basic AC Quantities;J1939 DBC
61469;Steering Angle Sensor Information;J1939 DBC
61470;Generator Control 2;J1939 DBC
61471;Electronic Brake System #2/6;No
61472;Electronic Brake System #2/5;No
61473;Engine Speed Sensor Information 1;J1939 DBC
61474;Machine Selected Speed;ISOBUS DBC (2022-08)
61475;Aftertreatment 1 SCR Dosing System Information 1;J1939 DBC
61476;Aftertreatment 1 SCR Dosing System Requests 1;J1939 DBC
61477;Aftertreatment 1 SCR Ammonia Information;J1939 DBC
61478;Aftertreatment 2 SCR Dosing System Information 1;J1939 DBC
61479;Aftertreatment 2 SCR Dosing System Requests 1;J1939 DBC
61480;Aftertreatment 2 SCR Ammonia Information;J1939 DBC
61481;Slope Sensor Information 2;J1939 DBC
61482;Angular Rate Information;J1939 DBC
61483;Crash Notification;J1939 DBC
61484;Magnet Status Information 2;J1939 DBC
61485;Acceleration Sensor;J1939 DBC
61486;Engine Turbocharger Control;J1939 DBC
61487;Advanced Emergency Braking System 1;J1939 DBC
61488;Wireless Status;J1939 DBC
61489;Wand Sensor;J1939 DBC
61490;Linear Displacement Sensor;J1939 DBC
61491;Aftertreatment 1 SCR Ammonia Information 2;J1939 DBC
61492;Aftertreatment 2 SCR Ammonia Information 2;J1939 DBC
61494;High Voltage Energy Storage 1 Status 2;J1939 DBC
61495;Engine Turbocharger Blowoff Actuator 1;J1939 DBC
61496;Engine Torque / Fuel Request;J1939 DBC
61497;Engine Air System Information;J1939 DBC
61498;Engine Cylinder 1 Combustion Information;J1939 DBC
61499;Engine Cylinder 2 Combustion Information;J1939 DBC
61500;Engine Cylinder 3 Combustion Information;J1939 DBC
61501;Engine Cylinder 4 Combustion Information;J1939 DBC
61502;Engine Cylinder 5 Combustion Information;J1939 DBC
61503;Engine Cylinder 6 Combustion Information;J1939 DBC
61504;Engine Cylinder 7 Combustion Information;J1939 DBC
61505;Engine Cylinder 8 Combustion Information;J1939 DBC
61506;Engine Cylinder 9 Combustion Information;J1939 DBC
61507;Engine Cylinder 10 Combustion Information;J1939 DBC
61508;Engine Cylinder 11 Combustion Information;J1939 DBC
61509;Engine Cylinder 12 Combustion Information;J1939 DBC
61510;Engine Cylinder 13 Combustion Information;J1939 DBC
61511;Engine Cylinder 14 Combustion Information;J1939 DBC
61512;Engine Cylinder 15 Combustion Information;J1939 DBC
61513;Engine Cylinder 16 Combustion Information;J1939 DBC
61514;Engine Cylinder 17 Combustion Information;J1939 DBC
61515;Engine Cylinder 18 Combustion Information;J1939 DBC
61516;Engine Cylinder 19 Combustion Information;J1939 DBC
61517;Engine Cylinder 20 Combustion Information;J1939 DBC
61518;Engine Cylinder 1 Combustion Average Information;J1939 DBC
61519;Engine Cylinder 2 Combustion Average Information;J1939 DBC
61520;Engine Cylinder 3 Combustion Average Information;J1939 DBC
61521;Engine Cylinder 4 Combustion Average Information;J1939 DBC
61522;Engine Cylinder 5 Combustion Average Information;J1939 DBC
61523;Engine Cylinder 6 Combustion Average Information;J1939 DBC
61524;Engine Cylinder 7 Combustion Average Information;J1939 DBC
61525;Engine Cylinder 8 Combustion Average Information;J1939 DBC
61526;Engine Cylinder 9 Combustion Average Information;J1939 DBC
61527;Engine Cylinder 10 Combustion Average Information;J1939 DBC
61528;Engine Cylinder 11 Combustion Average Information;J1939 DBC
61529;Engine Cylinder 12 Combustion Average Information;J1939 DBC
61530;Engine Cylinder 13 Combustion Average Information;J1939 DBC
61531;Engine Cylinder 14 Combustion Average Information;J1939 DBC
61532;Engine Cylinder 15 Combustion Average Information;J1939 DBC
61533;Engine Cylinder 16 Combustion Average Information;J1939 DBC
61534;Engine Cylinder 17 Combustion Average Information;J1939 DBC
61535;Engine Cylinder 18 Combustion Average Information;J1939 DBC
61536;Engine Cylinder 19 Combustion Average Information;J1939 DBC
61537;Engine Cylinder 20 Combustion Average Information;J1939 DBC
61538;Electronic Transmission Controller #12;J1939 DBC
61539;Fuel Information 5 (Gaseous);J1939 DBC
61540;Engine Gaseous Fuel Valve Duration Command 1;J1939 DBC
61541;Engine Gaseous Fuel Valve Duration Command 2;J1939 DBC
61542;Engine Gaseous Fuel Valve Duration Command 3;J1939 DBC
61543;Engine Gaseous Fuel Valve Duration Command 4;J1939 DBC
61544;Engine Gaseous Fuel Valve Duration Command 5;J1939 DBC
61545;Engine Gaseous Fuel Valve Start of Actuation Command 1;J1939 DBC
61546;Engine Gaseous Fuel Valve Start of Actuation Command 2;J1939 DBC
61547;Engine Gaseous Fuel Valve Start of Actuation Command 3;J1939 DBC
61548;Engine Gaseous Fuel Valve Start of Actuation Command 4;J1939 DBC
61549;Engine Gaseous Fuel Valve Start of Actuation Command 5;J1939 DBC
61550;Fuel Pump Actuator Control Command;J1939 DBC
61551;Power Converter 1 Control 1;J1939 DBC
61552;Power Converter 2 Control 1;J1939 DBC
61553;Power Converter 1 Rate Limits Request 1;J1939 DBC
61554;Power Converter 2 Rate Limits Request 1;J1939 DBC
61555;Power Converter 2 Control 2;J1939 DBC
61556;Power Converter 1 Control 2;J1939 DBC
61557;Power Converter 1 Mode Feedback 1;J1939 DBC
61558;Power Converter 1 Limits Active Power;J1939 DBC
61559;Power Converter 1 Limits Active Electrical;J1939 DBC
61560;Power Converter 1 Limits Active DC Energy Source 1;J1939 DBC
61561;Power Converter 1 Low Voltage;J1939 DBC
61562;Power Converter 2 Mode Feedback 1;J1939 DBC
61563;Power Converter 2 Limits Active Power;J1939 DBC
61564;Power Converter 2 Limits Active Electrical;J1939 DBC
61565;Power Converter 2 Limits Active DC Energy Source 1;J1939 DBC
61566;Power Converter 2 Low Voltage;J1939 DBC
61567;Power Converter 1 Status 2;J1939 DBC
61568;Power Converter 1 Rate Limits Active 1;J1939 DBC
61569;Power Converter 2 Status 2;J1939 DBC
61570;Power Converter 2 Rate Limits Active 1;J1939 DBC
61571;Power Converter 2 Isolation Integrity;J1939 DBC
61572;Power Converter 1 Isolation Integrity;J1939 DBC
61573;Power Converter 2 Status 1;J1939 DBC
61574;Power Converter 1 Status 1;J1939 DBC
61584;High Voltage Energy Storage 1 Data 1;J1939 DBC
61585;High Voltage Energy Storage 1 Data 2;J1939 DBC
61586;High Voltage Energy Storage 1 Data 3;J1939 DBC
61587;High Voltage Energy Storage 1 Data 4;J1939 DBC
61588;High Voltage Energy Storage 1 Data 5;J1939 DBC
61589;High Voltage Energy Storage 1 Data 6;J1939 DBC
61590;High Voltage Energy Storage 1 Status 1;J1939 DBC
61600;High Voltage Energy Storage 1 Data 7;J1939 DBC
61640;DC/AC Accessory Inverter 1 Status 2;J1939 DBC
61641;DC/AC Accessory Inverter 1 Voltage;J1939 DBC
61642;DC/AC Accessory Inverter 1 Feedback 2;J1939 DBC
61643;DC/AC Accessory Inverter 2 Status 2;J1939 DBC
61644;DC/AC Accessory Inverter 2 Voltage;J1939 DBC
61645;DC/AC Accessory Inverter 2 Feedback 2;J1939 DBC
61648;Engine Cylinder Combustion Request;J1939 DBC
61649;Engine Cylinder Head Bypass Actuator 1;J1939 DBC
61650;Engine Electronic Controller 18;J1939 DBC
61651;Predictive Cruise Control 1;J1939 DBC
61654;DC/AC Accessory Inverter 1 Command;J1939 DBC
61655;DC/AC Accessory Inverter 1 Feedback;J1939 DBC
61658;DC/AC Accessory Inverter 2 Command;J1939 DBC
61659;DC/AC Accessory Inverter 2 Feedback;J1939 DBC
61662;DC/AC Accessory Inverter 3 Command;J1939 DBC
61663;DC/AC Accessory Inverter 3 Feedback;J1939 DBC
61666;DC/AC Accessory Inverter 4 Command;J1939 DBC
61667;DC/AC Accessory Inverter 4 Feedback;J1939 DBC
61668;Heartbeat Message;ISOBUS DBC (2022-08)
61669;Engine Ignition Timing Offset 1;J1939 DBC
61670;Engine Ignition Timing Offset 2;J1939 DBC
61671;Engine Ignition Timing Offset 3;J1939 DBC
61672;Engine Throttle / Fuel Actuator Control Command 2;J1939 DBC
61673;Aftertreatment 1 Intake Gas 3;J1939 DBC
61674;Aftertreatment 1 Outlet Gas 3;J1939 DBC
61675;Aftertreatment 2 Intake Gas Sensor 2;J1939 DBC
61676;Aftertreatment 2 Outlet Gas Sensor 2;J1939 DBC
61677;Engine Start Control;J1939 DBC
61685;Engine Start Arbitrator;J1939 DBC
61686;Advanced Driver Assistance Systems Interface Specification 1;No
61687;Advanced Driver Assistance Systems Interface Specification 2;No
61688;Advanced Driver Assistance Systems Interface Specification 3;No
61689;Engine Valve Controller;J1939 DBC
61690;Electronic Transmission Controller 13;J1939 DBC
61691;Aftertreatment 1 SCR Dosing System Requests 3;J1939 DBC
61692;Aftertreatment 2 SCR Dosing System Requests 3;J1939 DBC
61693;Aftertreatment 1 SCR Dosing System Information 4;J1939 DBC
61694;Aftertreatment 2 SCR Dosing System Information 4;J1939 DBC
61695;Secondary or Front Hitch Roll and Pitch;ISOBUS DBC (2022-08)
61696;Secondary or Front Hitch Roll and Pitch command;ISOBUS DBC (2022-08)
61697;Primary or Rear Hitch Roll and Pitch;ISOBUS DBC (2022-08)
61698;Primary or Rear Hitch Roll and Pitch command;ISOBUS DBC (2022-08)
61699;Generator Trip Energy;J1939 DBC
61700;Engine Speed Sensor Information 2;J1939 DBC
61701;Hydraulic Pressure Displacement;J1939 DBC
61702;Well Stimulation Pump System 1;J1939 DBC
61703;Well Stimulation Pump System 2;J1939 DBC
61704;High Voltage Energy Storage 1 Module Status 1;J1939 DBC
61705;High Voltage Energy Storage 1 Thermal Management System Status 1;J1939 DBC
61706;High Voltage Energy Storage 1 Data 8;J1939 DBC
61707;High Voltage Energy Storage 1 Data 9;J1939 DBC
61708;High Voltage Energy Storage 1 Data 10;J1939 DBC
61709;Fuel Information 6 (Gaseous);J1939 DBC
61710;Dump Truck Body Information;J1939 DBC
61711;Engine Operating Information 2;J1939 DBC
61712;Brakes 2;J1939 DBC
61713;Gaseous Fuel Pressure 3;J1939 DBC
61714;DC/DC Converter 1 Control;J1939 DBC
61715;DC/DC Converter 1 Operating Status;J1939 DBC
61716;DC/DC Converter 1 Voltage and Current;J1939 DBC
61717;DC/DC Converter 1 SLI Battery Status;J1939 DBC
61718;Well Stimulation Pump System 3;J1939 DBC
61719;DC/DC Converter 1 Status 2;J1939 DBC
61720;DC/DC Converter 2 Control;J1939 DBC
61721;DC/DC Converter 2 Operating Status;J1939 DBC
61722;DC/DC Converter 2 Voltage and Current;J1939 DBC
61723;DC/DC Converter 2 SLI Battery Status;J1939 DBC
61724;DC/DC Converter 2 Status 2;J1939 DBC
61725;DC/DC Converter 3 Control;J1939 DBC
61726;DC/DC Converter 3 Operating Status;J1939 DBC
61727;DC/DC Converter 3 Voltage and Current;J1939 DBC
61728;DC/DC Converter 3 SLI Battery Status;J1939 DBC
61729;DC/DC Converter 3 Status 2;J1939 DBC
61730;DC/DC Converter 4 Control;J1939 DBC
61731;DC/DC Converter 4 Operating Status;J1939 DBC
61732;DC/DC Converter 4 Voltage and Current;J1939 DBC
61733;DC/DC Converter 4 SLI Battery Status;J1939 DBC
61734;DC/DC Converter 4 Status 2;J1939 DBC
61735;Slope Sensor Information 3;J1939 DBC
61736;DC/AC Accessory Inverter 3 Status 2;J1939 DBC
61737;DC/AC Accessory Inverter 3 Voltage;J1939 DBC
61738;DC/AC Accessory Inverter 3 Feedback 2;J1939 DBC
61739;DC/AC Accessory Inverter 4 Status 2;J1939 DBC
61740;DC/AC Accessory Inverter 4 Voltage;J1939 DBC
61741;DC/AC Accessory Inverter 4 Feedback 2;J1939 DBC
61742;DC/AC Accessory Inverter 5 Command;J1939 DBC
61743;DC/AC Accessory Inverter 5 Feedback;J1939 DBC
61744;DC/AC Accessory Inverter 5 Status 2;J1939 DBC
61745;DC/AC Accessory Inverter 5 Voltage;J1939 DBC
61746;DC/AC Accessory Inverter 5 Feedback 2;J1939 DBC
61747;Engine Pre-Chamber Fuel Valve Duration Command 1;J1939 DBC
61748;Engine Pre-Chamber Fuel Valve Duration Command 2;J1939 DBC
61749;Engine Pre-Chamber Fuel Valve Duration Command 3;J1939 DBC
61750;Engine Pre-Chamber Fuel Valve Duration Command 4;J1939 DBC
61751;Engine Pre-Chamber Fuel Valve Duration Command 5;J1939 DBC
61752;Engine Pre-Chamber Fuel Valve Start of Actuation Command 1;J1939 DBC
61753;Engine Pre-Chamber Fuel Valve Start of Actuation Command 2;J1939 DBC
61754;Engine Pre-Chamber Fuel Valve Start of Actuation Command 3;J1939 DBC
61755;Engine Pre-Chamber Fuel Valve Start of Actuation Command 4;J1939 DBC
61756;Engine Pre-Chamber Fuel Valve Start of Actuation Command 5;J1939 DBC
61757;Active Steering System Controls 1;J1939 DBC
