Original;LogTimestamp;LogID;Ret;Sz;Blk;LogDataBytes;timestamps;echoByte;PGN;Priority;Source;Destination;DataBytes;DataLength;ID;BusChannel;IDE;DLC;Dir;EDL;BRS;PgnLabel;PgnInDbc
000001.381595 (000.004880)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 90 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.381595;00;0019;02048;1;0011EF900004F0000300FFFE7D7D0000FFFFFF;1.647142266905963e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.386102 (000.004507)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF 91 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.386102;00;0019;02048;1;0011EF910023FF000303FF101000FD43FFFF01;1.6471436682044273e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.390688 (000.004586)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF A0 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.390688;00;0019;02048;1;0011EFA00020FF000300FF1021000000FFD0FF;1.6471646876813922e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.394890 (000.004202)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF A1 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.394890;00;0019;02048;1;0011EFA1000000000303003900190000000000;1.6471660889798565e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.399925 (000.005035)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF A3 00 03 F0 00 03 00 FF F1 FF 00 00 FF FF 00 FF;000001.399925;00;0019;02048;1;0011EFA30003F0000300FFF1FF0000FFFF00FF;1.647168891576785e-39;00;00F003;03;00;FF;F1FF0000FFFF00FF;8;CF00300;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
000001.404308 (000.004383)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF B5 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.404308;00;0019;02048;1;0011EFB5000000000303003900190000000000;1.647194114949143e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.413302 (000.008995)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF B6 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.413302;00;0019;02048;1;0011EFB60023FF000303FF101000FD43FFFF01;1.6471955162476073e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.418394 (000.005092)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF B7 00 01 F0 00 06 00 FF FF FF FF 3F FF FF FF FF;000001.418394;00;0019;02048;1;0011EFB70001F0000600FFFFFFFF3FFFFFFFFF;1.6471969175460716e-39;00;00F001;06;00;FF;FFFFFF3FFFFFFFFF;8;18F00100;1;1;8;1;1;1;Electronic Brake Controller 1;J1939 DBC
000001.423435 (000.005041)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF B9 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.423435;00;0019;02048;1;0011EFB90004F0000300FFFE7D7D0000FFFFFF;1.6471997201430003e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.428654 (000.005219)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF C8 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.428654;00;0019;02048;1;0011EFC80020FF000300FF1021000000FFD0FF;1.6472207396199652e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
000001.432868 (000.004214)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF C9 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.432868;00;0019;02048;1;0011EFC9000000000303003900190000000000;1.6472221409184295e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.437342 (000.004474)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF DB 00 03 F0 00 03 05 FF 00 00 00 00 00 00 00 00;000001.437342;00;0019;02048;1;0011EFDB0003F0000305FF0000000000000000;1.6472473642907873e-39;00;00F003;03;05;FF;0000000000000000;8;CF00305;1;1;8;1;1;1;Electronic Engine Controller 2;J1939 DBC
000001.442983 (000.005641)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF DD 00 00 00 00 03 03 00 39 00 19 00 00 00 00 00;000001.442983;00;0019;02048;1;0011EFDD000000000303003900190000000000;1.647250166887716e-39;00;000000;03;03;00;3900190000000000;8;C000003;1;1;8;1;1;1;;
000001.447069 (000.004086)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF DF 00 23 FF 00 03 03 FF 10 10 00 FD 43 FF FF 01;000001.447069;00;0019;02048;1;0011EFDF0023FF000303FF101000FD43FFFF01;1.6472529694846446e-39;00;00FF23;03;03;FF;101000FD43FFFF01;8;CFF2303;1;1;8;1;1;1;Proprietary B;No
000001.451248 (000.004179)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF E0 00 04 F0 00 03 00 FF FE 7D 7D 00 00 FF FF FF;000001.451248;00;0019;02048;1;0011EFE00004F0000300FFFE7D7D0000FFFFFF;1.647254370783109e-39;00;00F004;03;00;FF;FE7D7D0000FFFFFF;8;CF00400;1;1;8;1;1;1;Electronic Engine Controller 1;J1939 DBC
000001.455982 (000.004734)  Rx() ID = 00 Ret = 0019 Sz = 02048 Blk = 1 Data:  00 11 EF F0 00 20 FF 00 03 00 FF 10 21 00 00 00 FF D0 FF;000001.455982;00;0019;02048;1;0011EFF00020FF000300FF1021000000FFD0FF;1.647276791558538e-39;00;00FF20;03;00;FF;1021000000FFD0FF;8;CFF2000;1;1;8;1;1;1;Proprietary B;No
